Firm,AccountSize,DailyMaxLoss,TotalMaxDD,ProfitTarget,FirmMaxContracts,DDType,Mode,RiskFracDailyDDPerTrade
Topstep,50K,1000,2000,3000,5,BALANCE_TRAIL,Safe,0.1
Topstep,100K,2000,3000,6000,10,BALANCE_TRAIL,Standard,0.15
Topstep,150K,3000,4500,9000,15,BALANCE_TRAIL,Aggressive,0.25
MyFundedFutures,50K,N/A,2000,3000,3,EOD_TRAIL,,
MyFundedFutures,100K,N/A,3000,6000,6,EOD_TRAIL,,
MyFundedFutures,150K,N/A,4500,9000,9,EOD_TRAIL,,
Apex,25K,N/A,1500,1500,4,TRUE_TRAIL,,
Apex,50K,N/A,2500,3000,10,TRUE_TRAIL,,
Apex,100K (Static),N/A,625,2000,2,TRUE_TRAIL,,
Apex,100K,N/A,3000,6000,14,TRUE_TRAIL,,
Apex,150K,N/A,5000,9000,17,TRUE_TRAIL,,
Apex,250K,N/A,6500,15000,27,TRUE_TRAIL,,
Apex,300K,N/A,7500,20000,35,TRUE_TRAIL,,
TakeProfitTrader,25K,N/A,1500,1500,3,TRUE_TRAIL,,
TakeProfitTrader,50K,N/A,2000,3000,6,TRUE_TRAIL,,
TakeProfitTrader,100K,N/A,3000,6000,12,TRUE_TRAIL,,
TakeProfitTrader,150K,N/A,4500,9000,15,TRUE_TRAIL,,
AlphaFutures,50K (Zero Plan),1000,2000,3000,3,BALANCE_TRAIL,,
AlphaFutures,50K (Standard),N/A,2000,3000,5,BALANCE_TRAIL,,
AlphaFutures,50K (Advanced),N/A,1750,4000,5,BALANCE_TRAIL,,
AlphaFutures,100K (Zero Plan),2000,4000,6000,6,BALANCE_TRAIL,,
AlphaFutures,100K (Standard),N/A,4000,6000,10,BALANCE_TRAIL,,
AlphaFutures,100K (Advanced),N/A,3500,8000,10,BALANCE_TRAIL,,
AlphaFutures,150K (Standard),N/A,6000,9000,15,BALANCE_TRAIL,,
AlphaFutures,150K (Advanced),N/A,5250,12000,15,BALANCE_TRAIL,,
FundedNext Futures,25K (Rapid),N/A,1000,1500,2,TRUE_TRAIL,,
FundedNext Futures,50K (Rapid),N/A,2000,3000,3,TRUE_TRAIL,,
FundedNext Futures,100K (Rapid),N/A,2500,5000,5,TRUE_TRAIL,,
FundedNext Futures,25K (Legacy),N/A,1000,1250,2,TRUE_TRAIL,,
FundedNext Futures,50K (Legacy),N/A,2500,2500,3,TRUE_TRAIL,,
FundedNext Futures,100K (Legacy),N/A,3000,6000,5,TRUE_TRAIL,,
FundingTicks,25K (Pro+),N/A,1000,1500,3,TRUE_TRAIL,,
FundingTicks,50K (Pro+),N/A,2000,2500,4,TRUE_TRAIL,,
FundingTicks,100K (Pro+),N/A,3000,6000,8,TRUE_TRAIL,,
FundingTicks,150K (Pro+),N/A,4500,9000,10,TRUE_TRAIL,,
FundingTicks,25K (Zero),N/A,1000,N/A,1,TRUE_TRAIL,,
FundingTicks,50K (Zero),N/A,2000,N/A,3,TRUE_TRAIL,,
FundingTicks,100K (Zero),N/A,3000,N/A,5,TRUE_TRAIL,,
